hostname,state,software,user_count,note_count,peer_count,discovered_at
oldinternet.net,up,mastodon,11,11769,2294,1650944302
fedi.katze.sh,up,mastodon,1,13,1748,1665693835
posts.dani.cool,up,mastodon,1,17,770,1668212335
social.sly.dev,up,mastodon,2,12,881,1668772850
social.malolepszy.org,up,gotosocial,1,9,58,1668905337
videos.yeswiki.net,up,peertube,7,1120,,1644881341
zzz.rocks,up,mastodon,6,39,2483,1667940804
s.lono.space,up,pleroma,5,59,3687,1612578267
mygreatest.social,up,pleroma,1,1,462,1667728126
mtd.bashell.com,up,mastodon,1,108,866,1668628391
mastodon.s.wrongplace.be,up,mastodon,4,7,140,1612578348
mastodon.lieter.nl,up,mastodon,1,71,4170,1612578271
libertalia.world,up,mastodon,375,107900,8482,1612578267
solidcharity.net,up,mastodon,13,55,141,1656814678
think-about.ch,up,wordpress,2,2,,1667795191
mental.social,up,mastodon,1427,1153344,6781,1612578269
natsu.page,up,mastodon,1,3442,1937,1612578266
m.phase.org,up,mastodon,2,207,4045,1667303346
peertube.luckow.org,up,peertube,2,113,,1620251737
iwolfking.xyz,up,mastodon,3,1,115,1667728127
masto.nd2.uk,up,mastodon,3,214,308,1656622282
mastodon.thoco.se,up,mastodon,2,91,1444,1668460791
s.mysw.moe,up,mastodon,2,322,186,1668133191
wndp.cloud,up,misskey,4,79269,2139,1612578269
wandering.shop,up,mastodon,2735,676840,19626,1612578269
social.tin.fyi,up,mastodon,1,1,1131,1654003963
shortstackran.ch,up,pleroma,26,80476,6006,1642642526
beets.social,up,mastodon,2,5,13,1667702328
gast.social,up,mastodon,1,24,1560,1651486889
mastodon.hptrow.me,up,mastodon,10,112,1857,1612578267
bangdream.tokyo,up,mastodon,3,90,3354,1614459565
thu2.closed.social,up,misskey,,,604,1630219589
social.myexp.de,up,mastodon,2,6,628,1668064254
curious.simio.us,up,mastodon,3,67,3821,1667668050
pixelfed.fi,up,pixelfed,923,1119,501,1612578267
