hostname,state,software,user_count,note_count,peer_count,discovered_at
mastodon.humanists.uk,up,mastodon,2,5,768,1667668050
fedi.insomniaonline.de,up,,0,0,0,1667223949
mixin.love,up,mastodon,3,90,2351,1657567767
relay.toot.yukimochi.jp,up,activity-relay,264,,,1612578388
mstdn.moe,up,mastodon,177,22723,4385,1629787025
friendica-dev.gidikroon.eu,up,friendica,7,137,500,1612578348
terrible.place,up,pleroma,2,363,3682,1619110585
btrfly.social,up,pleroma,1,5,700,1667076997
social.sirscythe.net,up,gotosocial,1,0,4,1668000359
peertube.librosphere.fr,up,peertube,6,59515,,1639647840
mel.sh,up,writefreely,1,3,,1644033822
social.secret-wg.org,up,mastodon,19,232,3775,1612578268
devil-children-alitaso.com,up,mastodon,7,20499,2006,1612578267
b612.icu,up,mastodon,1,100,7193,1612578266
unkomaker.hostdon.ne.jp,up,mastodon,2,65184,2882,1631617087
dumbo.e-kobi.com,up,mastodon,10,29,7,1612578345
social.researchanddestroy.technology,up,mastodon,2,12,3191,1665830060
one.telmina.com,up,mastodon,1,89547,5658,1612578266
plnetwork.xyz,up,hometown,14,88,1204,1667772372
mastodon.dr-hardware.ch,up,mastodon,2,7,991,1668007597
mastodon.schnuffle.de,up,mastodon,1,4,477,1667093328
video.mrmoreira.com,up,peertube,2,843,,1667572445
parrygod.club,up,mastodon,2,18,850,1612578345
m.upsilo.net,up,mastodon,1,5196,2887,1612578267
engineered.space,up,pleroma,1,3171,5155,1612578265
mastodon.danp.net,up,mastodon,1,16,770,1667602458
social.jugendhacker.de,up,gotosocial,4,719,214,1651277607
social.bert.org,up,mastodon,1,35,2620,1612578345
pixel.plus.yt,up,pixelfed,4,138,0,1619210692
fedi.simonwillison.net,up,mastodon,1,578,5662,1667436984
hwang.me.uk,up,mastodon,1,24,484,1667629108
pinkorange.red,up,mastodon,49,95309,6061,1612578267
leroma.shrieker.net,up,pleroma,5,1415,528,1631776045
hulvr.com,up,mastodon,44,35933,10296,1612578268
box.cliq.social,up,pleroma,1,0,2,1626177043
mastodon.hellsite.net,up,mastodon,8,194,2194,1639653934
development.write.as,up,writefreely,20,73,,1612578345
don.mamemo.online,up,mastodon,37,284522,6779,1612578270
troet.online,up,mastodon,3,2,246,1668075879
pleroma.shunderdo.me,up,pleroma,1,4965,7023,1612578270
mastodon.monkeydiesel.net,up,mastodon,1,77,5326,1667867368
g0v.social,up,mastodon,5579,561741,13440,1612578269
tutoteket.no,up,mastodon,5,571,2729,1667467152
social.caskey-demaret.se,up,mastodon,3,8,352,1667726494
microblog.lunai.re,up,mastodon,3,869,4827,1612578267
pleroma.zabaglione.net,up,pleroma,2,5,849,1667023084
pleroma.popolon.org,up,pleroma,3,5838,6251,1612578271
notworking.review,up,mastodon,1,1,188,1667777524
kavlak.uk,up,mastodon,3,17,414,1668075879
waste.social,up,mastodon,2,49,1525,1667366320
datri.uy,up,wordpress,1,35,,1612578346
hub.libranet.de,up,hubzilla,88,13877,,1612578266
social.invalidentry.engineer,up,mastodon,3,55,20,1667564061
toot.oar-online.uk,up,mastodon,2,2,1,1667877979
onewilshire.la,up,hometown,94,841,2005,1667290811
social.caruso.one,up,pleroma,5,74,385,1662199070
cyberfurz.art,up,pixelfed,3,9,1,1667988049
mastodon.shinomoroll.net,up,mastodon,1,6,398,1667753907
libcyb.so,up,mastodon,1,3,2125,1651091253
frankly.social,up,mastodon,3,135,1806,1667591065
bookwyrm.tardis.pw,up,bookwyrm,6,1515,38,1614809088
toot.village.one,up,mastodon,4,10,252,1667820405
kris.talkplus.org,up,wordpress,1,145,,1612578271
social.cybre.town,up,mastodon,37,14882,7554,1612578270
verhalenvanvluchtelingen.nl,up,writefreely,1,,,1641403025
cyberstorm.one,up,pleroma,1,361,2086,1667767727
icmstdn.com,up,,86,147,560,1612578345
harz.social,up,mastodon,10,17,792,1651241674
firefaithfellowship.com,up,pleroma,5,86,2543,1612578442
fed.alteregocreations.com,up,mastodon,1,168,911,1663265365
mastodon.dermarcus.de,up,mastodon,1,5,326,1667733470
7pounds.army,up,mastodon,10,67,1629,1668024143
bytesize.social,up,mastodon,2,9,788,1667787907
ianbgibson.com,up,writefreely,1,1,,1612578345
sts.lqt.moe,up,pleroma,1,4773,3220,1617600873
novaloop.social,up,mastodon,1,14,2530,1652360710
mstdn.rkunkunr.com,up,mastodon,14,5370,399,1612578388
skrivel.se,up,mastodon,10,3429,6456,1612578267
voidfarm.pw,up,mastodon,9,121,381,1638379670
justpeace.social,up,mastodon,2,37,1175,1667877979
beebear.party,up,mastodon,155,3380,748,1612578348
makito.me,up,mastodon,1,1917,4921,1612578266
edm.haus,up,pleroma,2,27,6113,1612750726
peertube.kriom.net,up,peertube,2,6767,,1643759755
milkey.homes,up,groundpolis-milkey,,,3642,1617085938
mastodon.yuangezhizao.cn,up,mastodon,4,8435,2,1657873915
i.uwucocoa.moe,up,mastodon,2,106,406,1650935362
p.mr64.net,up,pleroma,4,949,6798,1612578271
masto.emergenzehack.info,up,mastodon,2,407,1009,1649492502
sns.scwhost.org,up,pleroma,3,180,3201,1612578268
photos.inclusion.cc,up,pixelfed,1,0,0,1612578346
pouets.leel.fr,up,mastodon,1,1,130,1667476260
setl.ist,up,mastodon,20,2915,5041,1612578268
lucarne.balsamine.be,up,peertube,3,48,,1612578346
toot.sg,up,mastodon,1,64,1074,1654592877
area51.social,up,mastodon,5,1761,3536,1650943449
1745.info,up,mastodon,19,37,528,1612578346
felixkazuya.de,up,wordpress,1,118,,1652445684
masto.vy-let.software,up,mastodon,5,29112,7219,1612578267
sheffield.pub,up,mastodon,1,22,1377,1667865063
social.amiva.cc,up,pleroma,1,2,468,1630063866
mastodon.half-shot.uk,up,mastodon,1,94,1596,1667871071
blog.lacajita.es,up,wordpress,2,247,,1612580694
friendica.togart.de,up,friendica,2,46,12982,1612578267
weird.tw,up,mastodon,1,42,161,1667020826
s.javisantana.com,up,mastodon,1,3,233,1667669438
post.ebin.club,up,pleroma,17,9139,5694,1648106836
mas.cnova.de,up,mastodon,0,0,1210,1667011398
tfk.one,up,mastodon,2,1,347,1667644280
bird.im-in.space,up,birdsitelive,17,0,,1642465501
www.loganjohndarylgraham.xyz,up,misskey,5,8503,5281,1622099200
logoff.website,up,mastodon,2,1,114,1667814208
nojack.easydns.ca,up,,4385,11645,7351,1612578267
mastodon.bluecatnet.work,up,mastodon,3,48,597,1667291048
mastodon.developage.de,up,mastodon,1,0,1548,1667872176
sns-sakura.jp,up,mastodon,186,38031,462,1632903428
mapstodon.technology,up,mastodon,1,179,1484,1651004483
corn.social,up,mastodon,7,15,181,1665497308
social.luizpicolo.com.br,up,pleroma,2,211,1424,1657692118
social.identi.cat,up,mastodon,2,82,830,1668042229
lilymagic.com,up,mastodon,589,15371,881,1644801840
go5.dev,up,mastodon,1180,286107,6021,1612578266
gts.xmgz.eu,up,gotosocial,1,12,15,1667841435
dsocialize.net,up,pleroma,65,1651,3634,1617221755
replay.jres.org,up,peertube,6,184,,1612578269
social.kennyqin.com,up,pleroma,1,438,2152,1620674681
social.pouill.eu,up,friendica,0,0,0,1646188648
sawakai.space,up,,190,1332,1133,1612578269
renes-welt.de,up,wordpress,1,34,,1653336126
njust.club,up,mastodon,231,925,14,1667232387
px.maciej.website,up,pixelfed,1,0,1,1666926262
freezepeach.online,up,pleroma,7,99,3093,1662893511
machines.social,up,mastodon,2,731,3240,1651358932
fnlog.page,up,mastodon,1,10,457,1667848557
pleroma.oook.fr,up,pleroma,2,1707,6299,1612578268
