hostname,state,software,user_count,note_count,peer_count,discovered_at
pleroma.2207.fr,up,pleroma,1,0,35,1668047460
social.surfnet.space,up,pleroma,1,1053,4372,1612578270
zeroping.cc,up,mastodon,5,54,2778,1667004329
animesexual.community,up,mastodon,8,2649,5206,1651603447
mstdn.health,up,mastodon,1,2,575,1668472558
argentum.social,up,mastodon,1,427,5472,1652057170
wakanda.social,up,mastodon,32,8,156,1668302090
social.roeckoe.be,up,mastodon,3,645,3779,1612578271
hha.app,up,mastodon,3,170,64,1621421937
mastodon.serinus.us,up,mastodon,6,20,641,1667813357
social.minable.xyz,up,pleroma,2,702,3862,1612578266
mastodon.esmevane.com,up,mastodon,11,7023,3581,1612578266
socialism.social,up,mastodon,240,2425,2739,1667759390
friendl.y-y.li,up,friendica,2,7,14521,1612578267
social.balpha.de,up,mastodon,1,37,1312,1667759428
social.chiefgyk3d.com,up,mastodon,4,589,5573,1667311646
1dhfsbbdpv4wshuyc6197nymcfeqqkfvy9.tupambae.org,up,friendica,0,0,0,1629862636
mastodon.smcm.xyz,up,mastodon,1,5,587,1668119634
pl.dira.cc,up,akkoma,4,2573,5743,1615678333
io.mwl.io,up,hometown,1,14,847,1668302090
social.vasi.li,up,pleroma,4,44,30,1612578348
gulp.cafe,up,mastodon,211,67227,11142,1612578266
romancelandia.club,up,mastodon,1253,21561,7236,1612578268
mastodon.ipv64.net,up,mastodon,97,537,881,1668210931
keenclocks.studio,up,mastodon,1,10,2916,1667644280
atellier.space,up,mastodon,1,10,1726,1667987398
queerdon.social,up,mastodon,2,154,1475,1667472162
toepi.moe,up,pleroma,2,1313,5226,1612578268
sozen.network,up,mastodon,38,21754,5592,1612578269
mast.crisisproof.it,up,mastodon,2,20,384,1667987398
guerrill.art,up,mastodon,2,5,767,1657796601
pixel.autonomous-zone.earth,up,pixelfed,16,319,244,1645023873
afternoon.chat,up,mastodon,3,121,2160,1667806027
kith.kitchen,up,mastodon,939,36137,12838,1612578267
social.linuxbabe.com,up,mastodon,2,0,6,1654902164
inthebeliefofbetter.social,up,mastodon,3,9,594,1667987398
tooteam.potchan.org,up,mastodon,11,132,1568,1625328643
mstdn.dylanh.dev,up,mastodon,1,0,3288,1650986840
rectongle.net,up,mastodon,3,52,2219,1667184092
social.espeweb.net,up,pleroma,13,75689,2068,1649492466
pipou.academy,up,mastodon,195,481365,12724,1612578268
kraud.social,up,mastodon,3,94,3688,1650966157
mastodon.thebeeches.house,up,mastodon,2,127,1519,1644855190
m.terryx.com,up,mastodon,2,20,1515,1651404273
pleroma.monotremata.xyz,up,pleroma,1,1,2866,1614295199
social.iospace.de,up,mastodon,1,83,1564,1667143771
rly.at,up,pixelfed,28,15,71,1650916403
tried-to-do.science,up,mastodon,5,71,3794,1667907435
dltq.org,up,mastodon,2,607,3614,1667907435
social.kerkour.com,up,mastodon,1,121,2168,1622874646
itm.johntrain.org,up,ecko,1,0,9,1668023445
spinster.xyz,up,pleroma,20590,1873486,11814,1612578268
social.io18.top,up,mastodon,8,910,4944,1634399907
social.gamingecke.space,up,mastodon,12,107,85,1667858019
friendica.ru,up,friendica,0,0,0,1646683947
mastodon.wilsonxia.cn,up,mastodon,4,7,1184,1667558366
social.gijs.me,up,mastodon,1,1,352,1667942902
varwest.fr,up,mastodon,3,30,621,1667733358
social.azkware.net,up,pleroma,2,1606,7846,1612578267
mastodon.dbatley.com,up,mastodon,2,302,1302,1612578270
stereophonic.space,up,pleroma,792,353689,14141,1612578270
antizuckbook.com,up,friendica,0,0,0,1652199399
masto.npcore.net,up,mastodon,2,15,107,1667635284
toot.hoyle.me.uk,up,mastodon,2,132,1484,1612578266
mastodon.cosmicnation.co,up,mastodon,3,51,565,1668315494
pocmo.social,up,mastodon,1,10,844,1668173109
kirei.moe,up,pleroma,3,30,1399,1612578266
testing.pixeldroid.org,up,pixelfed,9,27,42,1612579016
antisleepdevice.de,up,mastodon,1,1,792,1667363881
were.party,up,mastodon,2,5,64,1668505256
pixelfed.bunix.de,up,pixelfed,1,35,13,1661575386
masto.pt,up,mastodon,9225,142842,17043,1612578270
floressencia.social,up,mastodon,66,164,4,1667354333
fedi.lucdev.net,up,akkoma,2,93,2665,1668022407
social.mzumquadrat.de,up,pleroma,1,2,354,1668173109
ors.novababilonia.me,up,pleroma,3,4,109,1667832246
fedispot.com,up,pleroma,2,94,1533,1641176823
social.handholding.io,up,pleroma,102,82972,10457,1612578268
decept.org,up,pleroma,87,7934,8068,1612578267
gts.ancilla.ca,up,gotosocial,1,0,16,1668119634
isagood.dog,up,mastodon,3,4,39,1668417917
xtaldave.net,up,mastodon,1,1024,4706,1667496112
social.schiessle.org,up,friendica,1,15,2246,1612578266
muensterland.social,up,mastodon,146,2983,8207,1612578267
pleroma.yujinakao.com,up,pleroma,1,1029,197,1612578345
social.jcs-net.de,up,mastodon,3,266,938,1667832970
thecanadian.social,up,mastodon,61,2103,2615,1668045714
fluttercommunity.social,up,mastodon,21,72,920,1668023323
mastodon.myacs.com,up,mastodon,2,0,675,1642534272
less.suitwaffle.com,up,mastodon,3,1,1334,1667987398
mstdn.t-rg.ws,up,mastodon,1,92,13,1612578345
loutre.info,up,mastodon,17,8229,10409,1612578267
mstdn.crakac.com,up,mastodon,1,342,589,1652027421
behmerd.ir,up,writefreely,2,34,186,1612578269
mastodon.digitalsuccess.dev,up,mastodon,2,141,2681,1651111511
friendica.mifritscher.de,up,friendica,0,0,0,1612578344
harrystyl.es,up,mastodon,18,41,1668,1612578267
togl.me,up,mastodon,1,47,557,1668302044
fedi.yuka.dev,up,akkoma,1,908,4264,1624359803
akkoma.japanties.org,up,akkoma,2,9,1285,1668336205
social.toot9.de,up,mastodon,4,59,1363,1654458073
mastodon.enter-key.net,up,mastodon,2,2,340,1667962821
stingray.uber.space,up,mastodon,1,1,294,1668038123
twoheaded.monster,up,mastodon,1,4,207,1649492222
lowlab.social,up,mastodon,1,16,534,1649492503
fedi.fancycade.xyz,up,pleroma,4,1653,5447,1612578268
pixelfed.froth.zone,up,pixelfed,2,1,2,1643409352
bygg.land,up,mastodon,1,17,1785,1667492363
tech.lgbt,up,mastodon,6723,430677,17037,1612578267
akiba.party,up,mastodon,27,388,814,1668208662
systm32.xyz,up,mastodon,1,35,1267,1667913030
x.adkins.digital,up,mastodon,1,25,1679,1667936178
dftba.club,up,mastodon,112,3598,3404,1667723307
albanian.social,up,mastodon,3,4,692,1667954255
social.helmers.family,up,pleroma,1,0,36,1668148928
pizzarat.ca,up,mastodon,2,39,1305,1668167874
social.zentonic.org,up,mastodon,2,0,167,1667693769
games.retrotalk.live,up,mastodon,3,12,18,1668023451
mastodon.rctatman.com,up,mastodon,2,471,1575,1651112390
runicfire.masto.host,up,mastodon,8,0,314,1612578346
social.cloudron.io,up,mastodon,3,105,2499,1612578270
toot.cubeworld.de,up,mastodon,3,0,98,1651966827
dicerollers.net,up,mastodon,1,19,957,1667588926
social.mcavey.net,up,mastodon,1,0,415,1667633747
memtech.social,up,mastodon,7,43,683,1667806026
mastodon.dalaomai.cn,up,mastodon,6,606,2795,1637028555
shitbucket.nl,up,mastodon,2,13,182,1667360922
toots.gg,up,mastodon,2,2,637,1667832681
ukese.me,up,akkoma,1,140,3334,1612578269
mastodon.jamesoff.net,up,mastodon,3,92,1216,1651023085
tukkers.online,up,mastodon,44,839,6553,1612578348
toot.gmartin.net,up,mastodon,1,2,31,1668472099
plaza.remolino.town,up,pleroma,6,3045,6232,1612578269
gameliberty.club,up,mastodon,2539,652666,14479,1612578268
social.daniel.priv.no,up,gotosocial,1,1,63,1667780240
psyopshop.com,up,mastodon,3,37,5181,1612578269
h1v3.de,up,mastodon,3,4164,3503,1651048002
let-it-sli.de,up,mastodon,2,2,1335,1657839348
mastodon.xytes.net,up,mastodon,2,23,2726,1667158410
rva.party,up,mastodon,104,11980,9281,1612578268
darnell.app,up,pixelfed,2,192,307,1660579292
social.x.caad.one,up,mastodon,2,2,3970,1667572695
nep-nep.xyz,up,mastodon,2,0,316,1667962530
gorf.space,up,mastodon,6,74,1476,1612578266
dica.interfel.de,up,friendica,7,203,4620,1612578267
famichiki.jp,up,mastodon,228,5406,3292,1667798262
lojinx.social,up,mastodon,2,5,176,1667471492
gigaohm.bio,up,pleroma,2,10,488,1668472099
techpolicy.social,up,mastodon,28,238,1868,1668119634
bfs.llc,up,mastodon,2,3,118,1668556990
friends.desk-apps.com,up,friendica,3,25,10,1668556981
anticapitalist.party,up,mastodon,1958,321794,18690,1612578267
rghgts.duckdns.org,up,gotosocial,2,77,55,1664620145
alfazema.club,up,hometown,1,1062,4435,1612578266
vegoon.party,up,mastodon,6,145,3464,1667974552
reporter.social,up,mastodon,12,174,2568,1668373813
iamalive.digital,up,mastodon,3,209,4212,1650985371
friend.online-erfolg.ch,up,friendica,0,0,0,1667382357
la-verite-vaincra.com,up,friendica,131,51862,14767,1646712363
gts.joeshaw.org,up,gotosocial,1,4,32,1668373831
a.nti.social,up,pleroma,138,2244,6100,1612578270
yoitsu.moe,up,mastodon,5,452,2514,1612578266
mastodon.rosiesocosy.com,up,mastodon,7,33,313,1667920828
mastodon.everythingistacos.net,up,mastodon,1,3,580,1612578348
vuju.com,up,pleroma,3,0,1185,1666330556
mastodon.kroy.io,up,mastodon,1,83,1285,1667793528
omoro.info,up,mastodon,5,13,3232,1622102975
maex.photos,up,pixelfed,2,11,12,1668207857
social.dbot.dev,up,mastodon,1,22,3756,1667775632
social.chaosmagick.com,up,mastodon,30,1241,4760,1667981710
social.mat.tl,up,mastodon,1,184,4848,1667484307
www.mastoworld.com,up,mastodon,18,83,1028,1667813357
pawlicker.ddns.net,up,pleroma,1,124,1957,1665498303
pf.askan.info,up,pixelfed,1,25,62,1661488153
mastodon.ericbeckers.nl,up,mastodon,1,481,8284,1612578267
liberal.city,up,mastodon,71,6389,9354,1612578266
social.nomagic.uk,up,pleroma,20,2606,7729,1612578270
sueden.social,up,mastodon,8140,57246,9157,1651092057
swiss.social,up,mastodon,497,6420,6486,1667401199
social.suppenhase.de,up,mastodon,3,7,520,1667863737
baby.girlmeow.autos,up,pleroma,1,8,72,1668472099
port87.social,up,mastodon,33,1569,6416,1667609299
einsicht.mastodontech.de,up,mastodon,3,1,1038,1667848417
m.dhosted.io,up,mastodon,1,525,3181,1667762570
social.metapixl.com,up,mastodon,2,1,265,1651882767
beeslink.com,up,mastodon,5,24,1053,1612579116
mastodon.education,up,mastodon,157,2177,2717,1667513750
social.khomri.com,up,mastodon,4,12,76,1660560899
mastodon.joebuhlig.com,up,mastodon,1,5988,672,1661980408
sozialer.irrpfad.de,up,friendica,0,0,0,1667306646
orwell.fun,up,pleroma,99,2458,3827,1651138512
retrochat.online,up,mastodon,26,3116,4079,1651044929
social.teamx.cc,up,mastodon,9,32,2344,1667859198
mastodon.tobedefined.net,up,ecko,3,426,3514,1645202980
ribeiro.social,up,mastodon,5,372,1786,1612578345
