hostname,state,software,user_count,note_count,peer_count,discovered_at
social.beardishly.com,up,mastodon,1,6,545,1667690814
social.exclaimindustries.net,up,mastodon,1,273,1910,1612578266
mastodon.karrmedia.com,up,mastodon,1,1,335,1668935418
arize.social,up,mastodon,2,13,711,1621325788
mastodon.lingsite.org,up,mastodon,1,136,3312,1667866260
burner.social,up,pleroma,32,62,929,1612578345
karagedon.com,up,mastodon,20,446,2316,1612578266
coconatsu.co,up,mastodon,6,1272,593,1663359862
tugging.online,up,mastodon,3,7,133,1668345593
soel.li,up,wordpress,1,18,,1650228223
itsover.cyou,up,pleroma,2,447,2280,1664042706
muenchen.social,up,mastodon,8056,138701,14626,1612578269
michaelp.info,up,wordpress,2,4,,1659241167
tablegame.mstdn.cloud,up,,1244,991792,6205,1612578267
slashine.onl,up,mastodon,439,220059,10793,1612578267
mastodon.ydkn.social,up,mastodon,1,7,380,1612578345
masto.amosamos.net,up,pleroma,3,258,3649,1616274824
cosmos.social,up,mastodon,10,120,1872,1612578347
wife.town,up,mastodon,1,418,3687,1625514340
otadon.com,up,mastodon,23,999,2590,1612578388
o.isman.fr,up,hubzilla,3,26,,1612578345
weeaboo.space,up,pleroma,414,118999,14879,1612578270
paws.town,up,mastodon,2,2879,4224,1652076238
termine.wwworkgroup.de,up,gancio,1,3,,1645492433
mastodon.zunda.ninja,up,mastodon,1,101956,10527,1612578269
henshaw.social,up,mastodon,1,1174,7521,1612578267
velhaestante.com.br,up,bookwyrm,97,2577,87,1652919650
pajcevina.net,up,pleroma,4,0,169,1668330757
wetworks.org,up,mastodon,3,706,1485,1668965412
indiepocalypse.social,up,mastodon,201,6449,8342,1667022368
frnds.network,up,mastodon,4,26,1098,1668947677
pleroma.atsuchan.page,up,akkoma,2,10931,4032,1619880285
ak.korako.me,up,akkoma,1,9,31,1668485931
cornichon.me,up,mastodon,22,12227,11727,1612578268
twhtv.club,up,pleroma,4,311,2092,1649010124
space-pirates.org,up,mastodon,54,1513,3447,1651711657
pixelfed.mrpetovan.com,up,pixelfed,10,108,365,1612578266
mastodonperu.xyz,up,mastodon,16,536,4900,1651250965
biplus.social,up,mastodon,3,24,889,1668965411
gjallarhorn.dev,up,mastodon,1,15,1188,1668156316
austodon.com,up,mastodon,6,31,281,1668822740
clube.social,up,mastodon,89,653,3031,1651138512
social.davidriederer.com,up,mastodon,2,0,2050,1669160172
www.blimps.xyz,up,mastodon,309,81950,9364,1612579014
pantherx.social,up,mastodon,22,408,5943,1612578268
greennuclear.online,up,mastodon,21,330,2192,1667777112
ashlande.rs,up,mastodon,3,71,2105,1651302805
ncbt.space,up,pleroma,1,2,787,1667871478
gonzohacker.com,up,mastodon,1,24,1925,1667905313
joopleberry.garden,up,mastodon,2,38,991,1668478124
bigshoulders.city,up,hometown,120,16311,14868,1612578270
karlsruhe.social,up,mastodon,26,84,3521,1667082012
toot.portes-imaginaire.org,up,mastodon,556,13455,6992,1612578346
social.v.st,up,mastodon,11,3820,11147,1612578268
pixelfed.f4n.de,up,pixelfed,1,0,56,1641806325
alcatir.com,up,pleroma,5,425,3399,1612578267
social.stlouist.com,up,mastodon,29,1415,5339,1651442027
toot.quest,up,mastodon,3,4,13,1668923141
sunny.garden,up,mastodon,1044,24588,8760,1651075040
stoners.social,up,mastodon,14,668,1812,1668933960
fofoca.eu,up,mastodon,1,5,87,1656112632
mastodon.oeru.org,up,mastodon,2053,10283,12311,1612578267
bilibili.org,up,misskey,145,279,4456,1651595211
deckard.pub,up,mastodon,1,22,610,1612578271
paddys.pub,up,,3,16,2556,1612578710
znark.us,up,mastodon,1,2,2647,1612578390
owo.cafe,up,mastodon,120,5649,3377,1668330637
life.wkwkwk.fun,up,mastodon,11,632,1504,1659852868
social.gorritodeplata.xyz,up,mastodon,2,191,1721,1666296215
freesocial.co,up,mastodon,176,470,3980,1612578266
uiuxdev.social,up,mastodon,2283,1993,4377,1668530974
social.fbsweb.de,up,mastodon,2,3,2040,1653847234
mstdn.vodka,up,mastodon,32,13920,7949,1612578269
talos.link,up,mastodon,8,386,6695,1612578267
toot.y-y.li,up,mastodon,3,226,7115,1612578269
social.baubs.net,up,mastodon,4,7,1691,1668242356
mastodon-test-1.cameko.org,up,mastodon,2,4,170,1668707758
blackcat.guru,up,mastodon,4,20,1701,1668391738
blog.fireglow.de,up,writefreely,1,8,,1612578269
social.khajiit.de,up,mastodon,5,93,1639,1667109897
