hostname,state,software,user_count,note_count,peer_count,discovered_at
fv.convergence.cx,up,apd,1,3,70,1668260000
flexsite.masto.host,up,mastodon,1,105,2549,1667311646
comments.podcastsocial.org,up,mastodon,3,3,1,1669457882
megamast.io,up,mastodon,15,24,1169,1669009745
oberberg.nrw,up,mastodon,4,29,2299,1669153227
marzodon.social,up,mastodon,2,0,854,1668067247
notacult.social,up,mastodon,72,4134,9033,1665574502
mechanical.cat,up,,1,1,7,1669218605
mastodon.jaquanor.com,up,mastodon,1,23,468,1669146035
dataplatform.social,up,mastodon,103,281,1446,1669143588
pixelfed.thebitpros.com,up,pixelfed,1,2,6,1661749292
social.2bit.co,up,mastodon,1,17,684,1667467355
alien.insurrection.tech,up,mastodon,5,99,1694,1668042321
social.thisisgvrt.me,up,mastodon,1,1,474,1668800476
smile.brandonage.xyz,up,pleroma,2,5,1520,1659769545
m.kawaii.gg,up,mastodon,3,66,2073,1667595011
mastodon.karottenfabrik.net,up,mastodon,5,27,710,1668548734
spragleknas.no,up,mastodon,1,110,1547,1667999989
pleroma.remerge.net,up,pleroma,9,67,163,1635326911
ublog.thirdlaw.net,up,pleroma,1,37,633,1668999905
dom.ke,up,mastodon,2,23,1148,1667655277
void.hostdon.ne.jp,up,mastodon,8,81509,41,1612578346
videochina.net,up,mastodon,2,114,1508,1668130028
mastodonapp.ca,up,mastodon,57,722,5985,1668233149
mastodon.ctuck.com,up,mastodon,1,15,1281,1667633747
exploit.social,up,mastodon,14,283,3960,1667002865
unrelentingly.online,up,mastodon,16,90,725,1669285628
myna.social,up,mastodon,8,258,1424,1667832246
cawfee.club,up,pleroma,1378,180668,13279,1612578266
stade.social,up,mastodon,3,13,181,1669127184
pale.o-k-i.net,up,pleroma,13,317,508,1639649498
weird.tw,up,mastodon,1,52,283,1667020826
social.linuxbabe.com,up,mastodon,2,1,53,1654902164
live.byzero.de,up,,1,8,0,1665513948
frogmob.life,up,mastodon,3,1490,5177,1612578270
jasette.facil.services,up,mastodon,587,8577,9201,1612578266
tjatse.no,up,mastodon,2,1,522,1667421760
mastodon.mallegolhansen.com,up,mastodon,3,19,195,1669326162
social.bearygoosey.com,up,pleroma,3,1,725,1621647641
social.zocradio.info,up,mastodon,4,33,439,1668910022
vgmnation.com,up,mastodon,72,325,2195,1668743615
mastodon.egroc.de,up,mastodon,2,487,3005,1651094969
mastodon.kzhub.cc,up,mastodon,2,0,504,1668417383
andyd.uk,up,pleroma,1,56,3769,1667701369
pleroma.mnko.info,up,pleroma,1,3219,3646,1612578270
idealhealth.social,up,mastodon,6,4,1974,1668361134
esotericknowledge.xyz,up,mastodon,17,412,2145,1668984371
secular-humanism.eu,up,mastodon,6,107,3688,1667349283
touhou.party,up,mastodon,32,1197,1629,1612578348
krefeld.life,up,mastodon,49,22813,9999,1612578268
beebear.party,up,mastodon,155,3380,747,1612578348
reading.nnrt.site,up,mastodon,1,1,1,1668972758
p.astolfo.gay,up,pleroma,7,10,31,1667925562
pouet.april.org,up,mastodon,2,5220,8845,1612578268
meu.space,up,mastodon,1,18,320,1668858084
