hostname,state,software,user_count,note_count,peer_count,discovered_at
mastodon.nomic.space,up,mastodon,3,5,77,1668048485
mastodon.sudacode.com,up,mastodon,1,0,2172,1668671070
social.ritter.noho.st,up,ecko,4,0,1752,1667174773
pleroma.whydoesntmycode.work,up,pleroma,3,22,2426,1668118833
dhub.social,up,mastodon,13,93,2384,1635125312
tube.pyngu.com,up,peertube,3,0,,1614726680
rendall.ynh.fr,up,mastodon,2,7,25,1668789009
mastodon.nzoss.nz,up,mastodon,348,59529,16210,1612578268
boisterous.community,up,hometown,6,140,2810,1641267182
pleroma.lclsea.icu,up,pleroma,3,34,2739,1613233384
motorsports.social,up,mastodon,2,35,689,1668013244
live.clar.ke,up,,1,8,0,1668013244
social.lsnet.eu,up,mastodon,4,3589,3308,1612578266
social.knot.space,up,mastodon,1,3,1323,1614387838
s.zholnay.name,up,mastodon,27,1112,4261,1612578270
earthseed.live,up,mastodon,9,49,139,1656331581
social.secretsealing.club,up,akkoma,1,3,3297,1663297727
isekai.wtf,up,mastodon,1,14,2691,1651258748
home.charon.monster,up,pleroma,3,89,610,1667649676
dolphin.town,up,,684,3377,937,1612578344
talkabout.cf,up,friendica,0,0,0,1612578347
mastodon.thentrythis.org,up,mastodon,5,16,975,1667681092
old.mermaid.town,up,hometown,8,860,3483,1667561771
lolibox.dev,up,mastodon,1,2,125,1666637992
memecorporation.de,up,mastodon,6,52,7,1668707757
mastodon.gaunt.dev,up,mastodon,1,9,189,1668675772
videos.sarcasmstardust.com,up,peertube,2,492,,1645573101
pixels.pks.ai,up,pixelfed,8,23,3,1660732322
louiscap.dev,up,mastodon,1,1,343,1667900274
mastodon.twibox.fr,up,mastodon,2,27,336,1667945406
purpleforest.social,up,mastodon,2,86,2589,1667707355
toad.social,up,mastodon,1580,12029,5395,1667903460
linden.social,up,mastodon,2,21,737,1668296264
fed.bombaywallah.com,up,,4,42,151,1646174884
fuckgov.org,up,mastodon,22,2257,6496,1650940793
masto.raildecake.fr,up,mastodon,134,3589,5251,1612578270
mastodon.insicurezzadigitale.com,up,mastodon,33,118,3589,1667846659
pixelfed.northernvoice.app,up,pixelfed,2,5,2,1668041609
videos.john-livingston.fr,up,peertube,6,7867,,1615452930
sos.nekoweb.my.id,up,pleroma,1,1,126,1655755835
stg.mstdn.plusminus.io,up,mastodon,1,65,396,1612578346
peertube.bubuit.net,up,peertube,5,435272,,1617666929
mastodon.mio.es,up,mastodon,2,1,1,1668806438
pic.snug.moe,up,pixelfed,27,94,244,1659187369
h.kokuda.org,up,mastodon,38,24498,3573,1612578269
mastodon.naethure.com,up,mastodon,3,0,2510,1667996365
mastodon.westsideblogger.eu,up,mastodon,1,2012,2152,1667215637
raccoon.place,up,mastodon,34,3153,4562,1663889793
pixels.fabiomanganiello.com,up,pixelfed,1,0,12,1666144580
follow.schmaller.de,up,friendica,0,0,0,1635039653
dynlinux.io,up,mastodon,13,1270,6448,1612578267
framapiaf.org,up,mastodon,10827,2079383,20638,1612578271
vipgirlfriend.xxx,up,,6350,15823,1032,1612578386
social.anchel.nl,up,gotosocial,1,52,36,1612578266
mastodongolf.club,up,mastodon,1,3,25,1668257985
pf.tomlawson.io,up,pixelfed,1,2,3,1668573005
social.gllmr.fr,up,pleroma,2,111,2659,1665018134
cantabria.social,up,mastodon,72,614,681,1667941323
