hostname,state,software,user_count,note_count,peer_count,discovered_at
mosw.work,up,mastodon,1,278484,4848,1612578269
mastodon.straylight.engineering,up,mastodon,8,126,1287,1668256194
toot.katiechapman.ie,up,mastodon,1,25,1564,1667911723
social.walterebert.com,up,mastodon,1,90,3523,1667589095
m.aki-null.net,up,mastodon,1,274,689,1612578345
seattl.social,up,mastodon,1,6,716,1669428234
mastodon.trand.fr,up,mastodon,2,6,596,1668369256
mastodon.heavyimage.com,up,mastodon,2,4,1809,1669069288
toots.benpro.fr,up,mastodon,1,434,5850,1612578269
kamel.social,up,mastodon,3,0,203,1612578347
tried-to-do.science,up,mastodon,5,77,5478,1667907435
vegoon.party,up,mastodon,9,355,5711,1667974552
phyrexia.ru,up,mastodon,3,28,94,1668359252
mastodon.inreach.net,up,mastodon,2,5,1550,1667920327
shitbucket.nl,up,mastodon,2,13,218,1667360922
social.critzo.xyz,up,mastodon,1,0,6,1667766092
greennet.social,up,mastodon,8,14,969,1668711540
social.marcorennmaus.de,up,mastodon,1,12,255,1667421760
varwest.fr,up,mastodon,4,60,1127,1667733358
pxl.mxhdr.net,up,pixelfed,1,178,368,1612578707
social.samathy.space,up,,1,1160,5864,1612578269
turbois.land,up,pleroma,1,5,751,1668286941
dementedandsadbut.social,up,mastodon,1,74,1096,1669418600
indiehackers.social,up,mastodon,84,632,6006,1667336218
asentientbot.ca,up,mastodon,1,0,1117,1668239713
mastodon.remcorp.fr,up,mastodon,1,0,18,1668519599
lovesick.social,up,pleroma,3,401,2584,1668044744
nikkel.xyz,up,mastodon,2,0,1768,1667564318
wyrmsign.org,up,bookwyrm,7,79,37,1668644748
m.bratpfannenberg.com,up,mastodon,2,24,1474,1667232387
toot.onitato.com,up,mastodon,1,236,2981,1667385374
myfedi.de,up,mastodon,2,68,2307,1668856468
social.dbot.dev,up,mastodon,1,34,6030,1667775632
social.mow.cx,up,mastodon,1,0,19,1669137619
mastodon.dagorlad.cc,up,mastodon,1,6,231,1669483690
serval.club,up,,,,,1612579013
themars.tk,up,mastodon,1,1,1070,1669682174
mastodon.obspm.fr,up,mastodon,42,333,4460,1612578268
mastodon.gideonstar.de,up,mastodon,1,164,2233,1651509162
toot.philevans.uk,up,mastodon,3,9,1322,1668126300
fed.chylek.eu,up,pleroma,2,0,42,1669064516
social.gitea.io,up,mastodon,6,8,7020,1631928284
zo.hyxos.io,up,mastodon,6,87,12,1668233149
