"","date","instance_average","user_average","post_average","instance_diff","user_diff","post_diff"
"1","2022-11",8723,5616381.6,535784930.45,0,0,0
"2","2022-12",11262.4193548387,6360839.16129032,559565014.903226,2539.41935483871,744457.561290323,23780084.4532258
"3","2023-1",12349.8387096774,6714512,585614446.806452,1087.41935483871,353672.838709678,26049431.9032258
"4","2023-2",12755.5769230769,6902764.23076923,607052042.653846,405.738213399505,188252.230769231,21437595.8473946
"5","2023-3",12667.1935483871,7060883.96774194,625449828.870968,-88.3833746898272,158119.736972705,18397786.2171216
"6","2023-4",12476.9,7173569.3,642052263.8,-190.293548387097,112685.332258064,16602434.9290322
"7","2023-5",12424.9090909091,7292573.63636364,655076822.818182,-51.9909090909096,119004.336363637,13024559.0181819
